name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">The Walk, Jumeirah Beach Residence, JBR</span>","City : Dubai,  UAE ",,Phone : 04-4281551Call,Phone : 04-4281551Call,,
,"<span itemprop=""streetAddress"">Park Hyatt, Deira</span>","City : Dubai,  UAE ",,Phone : 04-3172222Call,Phone : 04-3172222Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6439699Call,Phone : 02-6439699Call,,
,"<span itemprop=""streetAddress"">Ritz Carlton. DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3722323Call,Phone : 04-3722323Call,,
,"<span itemprop=""streetAddress"">Grand Cinema Bldg, Al Buhaira Corniche</span>","City : Sharjah,  UAE ",,Phone : 06-5564564Call,Phone : 06-5564564Call,,
,"<span itemprop=""streetAddress"">Yas Marina</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4963412Call,Phone : 02-4963412Call,,
,"<span itemprop=""streetAddress"">Al Khubeirah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6772344Call,Phone : 02-6772344Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",25024,Phone : 02-6816367Call,Phone : 02-6816367Call,,
,"<span itemprop=""streetAddress"">JLT</span>","City : Dubai,  UAE ",,Phone : 04-3649477Call,Phone : 04-3649477Call,,
,"<span itemprop=""streetAddress"">Pearl Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-3766000Call,Phone : 04-3766000Call,,
,"<span itemprop=""streetAddress"">Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 800 2254Call,Phone : 800 2254Call,,
,"<span itemprop=""streetAddress"">Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2698862Call,Phone : 04-2698862Call,,
,"<span itemprop=""streetAddress"">Ritz Carlton, DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3722222Call,Phone : 04-3722222Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",38541,Phone : 02-6788036Call,Phone : 02-6788036Call,,
,"<span itemprop=""streetAddress"">Khalidiya Mall, Khalidiya Street</span>","City : Abu Dhabi,  UAE ",,Phone : 600 561112Call,Phone : 600 561112Call,,
,,"City : Sharjah,  UAE ",,Phone : 06-5676310Call,Phone : 06-5676310Call,,
,"<span itemprop=""streetAddress"">Al Mina Rd, Satwa</span>","City : Dubai,  UAE ",33228,Phone : 04-3460111Call,Phone : 04-3460111Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4452995Call,Phone : 02-4452995Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6783344Call,Phone : 02-6783344Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",42757,Phone : 02-6393370Call,Phone : 02-6393370Call,,
,"<span itemprop=""streetAddress"">Dubai Mall LG</span>","City : Dubai,  UAE ",,Phone : 04-3399212Call,Phone : 04-3399212Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",,Phone : 04-2833577Call,Phone : 04-2833577Call,,
,"<span itemprop=""streetAddress"">Creek Side, Baniyas St, Deira</span>","City : Dubai,  UAE ",1955,Phone : 04-2227111Call,Phone : 04-2227111Call,,
,"<span itemprop=""streetAddress"">Burj Daman Building, DIFC</span>","City : Dubai,  UAE ",,Phone : 04-4218665Call,Phone : 04-4218665Call,,
,"<span itemprop=""streetAddress"">Dubai Creek Golf</span>","City : Dubai,  UAE ",,Phone : 04-4161800Call,Phone : 04-4161800Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",55217,Phone : 02-6348345Call,Phone : 02-6348345Call,,
,"<span itemprop=""streetAddress"">Restaurant Unit 2, Nation Riviera, Nation Towers</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6110909Call,Phone : 02-6110909Call,,
,"<span itemprop=""streetAddress"">Farimont Hotel, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3329260Call,Phone : 04-3329260Call,,
,"<span itemprop=""streetAddress"">Farimont Bab Al bahr</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6543223Call,Phone : 02-6543223Call,,
,"<span itemprop=""streetAddress"">Next to Abu Dhabi Flour Mill</span>","City : Abu Dhabi,  UAE ",105777,Phone : 02-6777699Call,Phone : 02-6777699Call,,
,"<span itemprop=""streetAddress"">Emirates Financial Towers, DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3266333Call,Phone : 04-3266333Call,,
,"<span itemprop=""streetAddress"">Amna Bldg, Near IT Plaza</span>","City : Dubai,  UAE ",,Phone : 04-3263261Call,Phone : 04-3263261Call,,
,"<span itemprop=""streetAddress"">Food Court, Al Khail Mall, Al Quoz</span>","City : Dubai,  UAE ",,Phone : 04-3306066Call,Phone : 04-3306066Call,,
,"<span itemprop=""streetAddress"">ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel</span>","City : Dubai,  UAE ",,Phone : 04-3595057Call,Phone : 04-3595057Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3412331Call,Phone : 04-3412331Call,,
,"<span itemprop=""streetAddress"">Ground floor, Intercontinental Hotel, Bainuna Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6666888Call,Phone : 02-6666888Call,,
,"<span itemprop=""streetAddress"">Deira City Center</span>","City : Dubai,  UAE ",32674,Phone : 04-3520500Call,Phone : 04-3520500Call,,
,"<span itemprop=""streetAddress"">Electra and Salam Intersection</span>","City : Abu Dhabi,  UAE ",,Phone : 050-1275389Call,Phone : 050-1275389Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",242656,Phone : 04-3571606Call,Phone : 04-3571606Call,,
,"<span itemprop=""streetAddress"">Yasmin Bldg, Near Cricket Stadium</span>","City : Sharjah,  UAE ",,Phone : 06-5438400Call,Phone : 06-5438400Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",35172,Phone : 06-5542288Call,Phone : 06-5542288Call,,
,"<span itemprop=""streetAddress"">Jebel Ali</span>","City : Jebel Ali,  UAE ",4511,Phone : 04-8847533Call,Phone : 04-8847533Call,,
,"<span itemprop=""streetAddress"">Near Manama Supermarket, Kalba Rd</span>","City : Sharjah,  UAE ",,Phone : 06-5353596Call,Phone : 06-5353596Call,,
,"<span itemprop=""streetAddress"">Salam St</span>","City : Abu Dhabi,  UAE ",7789,Phone : 02-6778864Call,Phone : 02-6778864Call,,
,"<span itemprop=""streetAddress"">Al Zahara St, Nasseria</span>","City : Sharjah,  UAE ",38426,Phone : 06-5640070Call,Phone : 06-5640070Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-4405994Call,Phone : 04-4405994Call,,
,"<span itemprop=""streetAddress"">Bhnd Bank Sedarat Iran, Rolla</span>","City : Sharjah,  UAE ",,Phone : 06-5686969Call,Phone : 06-5686969Call,,
,"<span itemprop=""streetAddress"">Behind Mashreq Bank, Electra Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6794989Call,Phone : 02-6794989Call,,
,"<span itemprop=""streetAddress"">Near Qassimia R/A</span>","City : Sharjah,  UAE ",1724,Phone : 06-5749822Call,Phone : 06-5749822Call,,
,"<span itemprop=""streetAddress"">Century Mall, Deira</span>","City : Dubai,  UAE ",87548,Phone : 04-2967232Call,Phone : 04-2967232Call,,
,"<span itemprop=""streetAddress"">Damascus St,</span>","City : Dubai,  UAE ",,Phone : 04-2344994Call,Phone : 04-2344994Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-4503543Call,Phone : 04-4503543Call,,
,"<span itemprop=""streetAddress"">Al Sufouh</span>","City : Dubai,  UAE ",,Phone : 04-5117333Call,Phone : 04-5117333Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Sharjah,  UAE ",,Phone : 06-5313900Call,Phone : 06-5313900Call,,
,"<span itemprop=""streetAddress"">Near Classic Computers, King Faisal Rd</span>","City : Sharjah,  UAE ",49816,Phone : 06-5723052Call,Phone : 06-5723052Call,,
,"<span itemprop=""streetAddress"">Opp Dubai Grand Hotel, Bhnd Sunrise S/Market</span>","City : Dubai,  UAE ",3132,Phone : 04-2631590Call,Phone : 04-2631590Call,,
,"<span itemprop=""streetAddress"">Amman St, Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2510011Call,Phone : 04-2510011Call,,
,"<span itemprop=""streetAddress"">Al Wahda</span>","City : Sharjah,  UAE ",,Phone : 06-5720898Call,Phone : 06-5720898Call,,
,"<span itemprop=""streetAddress"">The City Walk</span>","City : Dubai,  UAE ",,Phone : 04-4033111Call,Phone : 04-4033111Call,,
,"<span itemprop=""streetAddress"">Behind ADNOC, Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6712151Call,Phone : 02-6712151Call,,
,"<span itemprop=""streetAddress"">Old Passport Rd</span>","City : Abu Dhabi,  UAE ",27207,Phone : 02-6416587Call,Phone : 02-6416587Call,,
,"<span itemprop=""streetAddress"">Near Gulf Cinema, Al Nakheel</span>","City : Ras Al Khaimah,  UAE ",4966,Phone : 07-2226225Call,Phone : 07-2226225Call,,
,"<span itemprop=""streetAddress"">Yas Island, Rotana Hotel</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6564000Call,Phone : 02-6564000Call,,
,"<span itemprop=""streetAddress"">Behind Mall Of Emirates, Barsha 1</span>","City : Dubai,  UAE ",37201,Phone : 04-3654446Call,Phone : 04-3654446Call,,
,"<span itemprop=""streetAddress"">Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2382837Call,Phone : 04-2382837Call,,
,"<span itemprop=""streetAddress"">G-39, Al Ghurair City, Deira</span>","City : Dubai,  UAE ",285849,Phone : 04-2288377Call,Phone : 04-2288377Call,,
,"<span itemprop=""streetAddress"">Sh Rashid Palace Road</span>","City : Umm Al Quwain,  UAE ",887,Phone : 06-7666678Call,Phone : 06-7666678Call,,
,"<span itemprop=""streetAddress"">SEWA Bldg, Near Sharjah Cinema, Al Mina Rd</span>","City : Sharjah,  UAE ",167,Phone : 06-5681006Call,Phone : 06-5681006Call,,
,"<span itemprop=""streetAddress"">Gate Village 10, Building 3, DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3470003Call,Phone : 04-3470003Call,,
,"<span itemprop=""streetAddress"">Inter Continental, Al Bateen</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6666888Call,Phone : 02-6666888Call,,
,"<span itemprop=""streetAddress"">Bhnd Al Mariya Cinema</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6716788Call,Phone : 02-6716788Call,,
,"<span itemprop=""streetAddress"">Near Super Bonanza Hypermarket, Al Quoz 2</span>","City : Dubai,  UAE ",,Phone : 04-3466617Call,Phone : 04-3466617Call,,
,"<span itemprop=""streetAddress"">Near Al Fahidi Souq, Street 33, Meena Bazar</span>","City : Dubai,  UAE ",,Phone : 04-3529277Call,Phone : 04-3529277Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6343060Call,Phone : 02-6343060Call,,
,"<span itemprop=""streetAddress"">Behind Lulu Centre, Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6778848Call,Phone : 02-6778848Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",31912,Phone : 02-6262762Call,Phone : 02-6262762Call,,
,"<span itemprop=""streetAddress"">Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3312380Call,Phone : 04-3312380Call,,
,"<span itemprop=""streetAddress"">Near Fahidi Metro Station, Musalla</span>","City : Dubai,  UAE ",,Phone : 04-3939732Call,Phone : 04-3939732Call,,
,"<span itemprop=""streetAddress"">Downtown Dubai</span>","City : Dubai,  UAE ",,Phone : 04-4322300Call,Phone : 04-4322300Call,,
,"<span itemprop=""streetAddress"">G Flr, Near Sabkha Bus Stn, Deira</span>","City : Dubai,  UAE ",28490,Phone : 04-2258899Call,Phone : 04-2258899Call,,
,"<span itemprop=""streetAddress"">Downtown Dubai</span>","City : Dubai,  UAE ",,Phone : 04-4281331Call,Phone : 04-4281331Call,,
,"<span itemprop=""streetAddress"">Damascus Street</span>","City : Dubai,  UAE ",,Phone : 04-2884428Call,Phone : 04-2884428Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Residence</span>","City : Dubai,  UAE ",32100,Phone : 04-4243740Call,Phone : 04-4243740Call,,
,"<span itemprop=""streetAddress"">Morejag New Mosque Rd, National Paint</span>","City : Sharjah,  UAE ",70587,Phone : 055-2912477Call,Phone : 055-2912477Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 050-4781094Call,Phone : 050-4781094Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Road</span>","City : Dubai,  UAE ",,Phone : 04-3854555Call,Phone : 04-3854555Call,,
,"<span itemprop=""streetAddress"">Al Habtoor City</span>","City : Dubai,  UAE ",,Phone : 04-4373333Call,Phone : 04-4373333Call,,
,"<span itemprop=""streetAddress"">Park Rotana, Al Matar</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6573333Call,Phone : 02-6573333Call,,
,"<span itemprop=""streetAddress"">X2 Tower, Ground Floor</span>","City : Dubai,  UAE ",,Phone : 04-4564984Call,Phone : 04-4564984Call,,
,"<span itemprop=""streetAddress"">Fakhruddin Executive Building, International City</span>","City : Dubai,  UAE ",,Phone : 800-2686879Call,Phone : 800-2686879Call,,
,"<span itemprop=""streetAddress"">Laguna Tower, JLT</span>","City : Dubai,  UAE ",,Phone : 04-5149339Call,Phone : 04-5149339Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3169600Call,Phone : 04-3169600Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Sharjah,  UAE ",,Phone : 06-5365466Call,Phone : 06-5365466Call,,
,"<span itemprop=""streetAddress"">Farimont Bab Al Bahr</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6543238Call,Phone : 02-6543238Call,,
,"<span itemprop=""streetAddress"">Jumeirah 1</span>","City : Dubai,  UAE ",,Phone : 04-3450023Call,Phone : 04-3450023Call,,
,"<span itemprop=""streetAddress"">Ramla Mall Food Court, DIP</span>","City : Jebel Ali,  UAE ",,Phone : 04-8847868Call,Phone : 04-8847868Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",44251,Phone : 02-6328860Call,Phone : 02-6328860Call,,
,"<span itemprop=""streetAddress"">Al Mussalla Tower, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3978940Call,Phone : 04-3978940Call,,
,"<span itemprop=""streetAddress"">opposite BurJuman Centre, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3547477Call,Phone : 04-3547477Call,,
,"<span itemprop=""streetAddress"">Dubai World Trade Centre</span>","City : Dubai,  UAE ",,Phone : 050-7240471Call,Phone : 050-7240471Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-8135552Call,Phone : 02-8135552Call,,
,"<span itemprop=""streetAddress"">Murjan 1, Jumeirah Beach Residence</span>","City : Dubai,  UAE ",,Phone : 04-4270268Call,Phone : 04-4270268Call,,
,"<span itemprop=""streetAddress"">Qusais</span>","City : Dubai,  UAE ",32645,Phone : 04-2673708Call,Phone : 04-2673708Call,,
,"<span itemprop=""streetAddress"">Lotus Hotel, Opp Al Ghurair City</span>","City : Dubai,  UAE ",,Phone : 04-2278888Call,Phone : 04-2278888Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-4917977Call,Phone : 02-4917977Call,,
,"<span itemprop=""streetAddress"">Bin Suloom Bldg, Al Shaab Colony, Deira</span>","City : Dubai,  UAE ",83171,Phone : 04-2691178Call,Phone : 04-2691178Call,,
,"<span itemprop=""streetAddress"">Near Al Safa Supermarket, Electra Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6330066Call,Phone : 02-6330066Call,,
,"<span itemprop=""streetAddress"">Al Ittihad Road</span>","City : Sharjah,  UAE ",83874,Phone : 06-5222411Call,Phone : 06-5222411Call,,
,"<span itemprop=""streetAddress"">Near Day to Day, Karama</span>","City : Dubai,  UAE ",111810,Phone : 04-3965595Call,Phone : 04-3965595Call,,
,"<span itemprop=""streetAddress"">Bhnd Al Moosa Tower, Satwa</span>","City : Dubai,  UAE ",205,Phone : 04-3289488Call,Phone : 04-3289488Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6563500Call,Phone : 02-6563500Call,,
,"<span itemprop=""streetAddress"">Madinat Zayed</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6278644Call,Phone : 02-6278644Call,,
,"<span itemprop=""streetAddress"">Souk Al Bahar, Dubail Mall</span>","City : Dubai,  UAE ",,Phone : 04-4200336Call,Phone : 04-4200336Call,,
,"<span itemprop=""streetAddress"">Opp Concorde Cinema, Al Zahra St</span>","City : Sharjah,  UAE ",28390,Phone : 06-5617161Call,Phone : 06-5617161Call,,
,"<span itemprop=""streetAddress"">Al Qasimia Street</span>","City : Sharjah,  UAE ",,Phone : 06-5722828Call,Phone : 06-5722828Call,,
,"<span itemprop=""streetAddress"">Naif Rd, Deira</span>","City : Dubai,  UAE ",34496,Phone : 04-2356161Call,Phone : 04-2356161Call,,
,"<span itemprop=""streetAddress"">Zabeel Rd, Karama</span>","City : Dubai,  UAE ",34496,Phone : 04-3347171Call,Phone : 04-3347171Call,,
,"<span itemprop=""streetAddress"">National Paints</span>","City : Sharjah,  UAE ",,Phone : 06-5343470Call,Phone : 06-5343470Call,,
,"<span itemprop=""streetAddress"">Times Square Centre, Sh Zayed Rd</span>","City : Dubai,  UAE ",,Phone : 04-3234844Call,Phone : 04-3234844Call,,
,"<span itemprop=""streetAddress"">Shop 1, Al Nahda 2 building, Baghdad Street</span>","City : Dubai,  UAE ",,Phone : 04-2568664Call,Phone : 04-2568664Call,,
,"<span itemprop=""streetAddress"">Mussafah 10, Sanayya</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5550071Call,Phone : 02-5550071Call,,
,"<span itemprop=""streetAddress"">Oasis Center</span>","City : Dubai,  UAE ",,Phone : 04-3466706Call,Phone : 04-3466706Call,,
,"<span itemprop=""streetAddress"">The H Dubai, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-5018623Call,Phone : 04-5018623Call,,
,"<span itemprop=""streetAddress"">Near Etisalat Office</span>","City : Dubai,  UAE ",,Phone : 80033747Call,Phone : 80033747Call,,
,"<span itemprop=""streetAddress"">Behind Grand City Mall, Al Quoz Industrial Area 4</span>","City : Dubai,  UAE ",,Phone : 04-3383283Call,Phone : 04-3383283Call,,
,"<span itemprop=""streetAddress"">Behind Sunrise Supermarket, Al Qusais</span>","City : Dubai,  UAE ",47351,Phone : 04-2611685Call,Phone : 04-2611685Call,,
,"<span itemprop=""streetAddress"">Bhnd KM Trdg, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5445060Call,Phone : 06-5445060Call,,
,"<span itemprop=""streetAddress"">Mussafah 10</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5553064Call,Phone : 02-5553064Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5348066Call,Phone : 06-5348066Call,,
,"<span itemprop=""streetAddress"">Mall Of The Emirates</span>","City : Dubai,  UAE ",,Phone : 04-2651288Call,Phone : 04-2651288Call,,
,"<span itemprop=""streetAddress"">18B Street, Behind NBF Bank, Bur Dubai</span>","City : Dubai,  UAE ",11893,Phone : 04-3966412Call,Phone : 04-3966412Call,,
,"<span itemprop=""streetAddress"">Bhnd Sharjah Water &amp; Elec Dept Bldg, Mina Rd</span>","City : Sharjah,  UAE ",2998,Phone : 06-5696944Call,Phone : 06-5696944Call,,
,"<span itemprop=""streetAddress"">Al Badia Golf Club, DFC</span>","City : Dubai,  UAE ",,Phone : 04-7011128Call,Phone : 04-7011128Call,,
,"<span itemprop=""streetAddress"">Dhow Palace Hotel, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3599992Call,Phone : 04-3599992Call,,
,"<span itemprop=""streetAddress"">Bin Soughat Centre, Rashidiya</span>","City : Dubai,  UAE ",6774,Phone : 04-2844498Call,Phone : 04-2844498Call,,
,"<span itemprop=""streetAddress"">Near Millenium Hotel, Corniche Rd</span>","City : Sharjah,  UAE ",,Phone : 06-5569909Call,Phone : 06-5569909Call,,
,"<span itemprop=""streetAddress"">Opposite Lulu Hypermarket</span>","City : Dubai,  UAE ",,Phone : 800 6936637Call,Phone : 800 6936637Call,,
,"<span itemprop=""streetAddress"">X2 Tower, Lake View, Cluster X</span>","City : Dubai,  UAE ",,Phone : 80036723Call,Phone : 80036723Call,,
,"<span itemprop=""streetAddress"">Ground Level, SIT Tower,</span>","City : Dubai,  UAE ",,Phone : 04-3207767Call,Phone : 04-3207767Call,,
,"<span itemprop=""streetAddress"">Al Manama Hyper Market</span>","City : Fujairah,  UAE ",,Phone : 09-2233474Call,Phone : 09-2233474Call,,
,"<span itemprop=""streetAddress"">G-1, National Cinema Building, Hamdan Street, Al Markaziya</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6742235Call,Phone : 02-6742235Call,,
,,"City : Jebel Ali,  UAE ",,Phone : 04-8876220Call,Phone : 04-8876220Call,,
,"<span itemprop=""streetAddress"">Intl City</span>","City : Dubai,  UAE ",39398,Phone : 04-3674558Call,Phone : 04-3674558Call,,
,"<span itemprop=""streetAddress"">Muhaisnah, Ghusais</span>","City : Dubai,  UAE ",,Phone : 04-2540022Call,Phone : 04-2540022Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Residence</span>","City : Dubai,  UAE ",,Phone : 04-4233785Call,Phone : 04-4233785Call,,
,"<span itemprop=""streetAddress"">DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3545435Call,Phone : 04-3545435Call,,
,"<span itemprop=""streetAddress"">Millennium Airport Hotel</span>","City : Dubai,  UAE ",,Phone : 04-7028888Call,Phone : 04-7028888Call,,
,"<span itemprop=""streetAddress"">Ramada Hotel, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3519999Call,Phone : 04-3519999Call,,
,"<span itemprop=""streetAddress"">Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road</span>","City : Dubai,  UAE ",72127,Phone : 04-3198088Call,Phone : 04-3198088Call,,
,"<span itemprop=""streetAddress"">Near Abu Hail Pharmacy, Hor Al Anz, Deira</span>","City : Dubai,  UAE ",10349,Phone : 04-2694997Call,Phone : 04-2694997Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",235071,Phone : 04-2671045Call,Phone : 04-2671045Call,,
,"<span itemprop=""streetAddress"">Ras Al Khor</span>","City : Dubai,  UAE ",29417,Phone : 04-3334275Call,Phone : 04-3334275Call,,
,"<span itemprop=""streetAddress"">Khaleefa Bin Din Bldg, Near Bus Station, Satwa</span>","City : Dubai,  UAE ",65892,Phone : 04-3496003Call,Phone : 04-3496003Call,,
,"<span itemprop=""streetAddress"">JBR</span>","City : Dubai,  UAE ",,Phone : 04-4305249Call,Phone : 04-4305249Call,,
,"<span itemprop=""streetAddress"">Behind Emax, Salim Bin Omar Street</span>","City : Sharjah,  UAE ",,Phone : 06-5538706Call,Phone : 06-5538706Call,,
,"<span itemprop=""streetAddress"">Behind BHS, Hamdan Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6322216Call,Phone : 02-6322216Call,,
,"<span itemprop=""streetAddress"">Opposite Tasheel, King Abdul Azizi Street</span>","City : Sharjah,  UAE ",,Phone : 06-5440676Call,Phone : 06-5440676Call,,
,"<span itemprop=""streetAddress"">Dubai Mall</span>","City : Dubai,  UAE ",,Phone : 04-3308899Call,Phone : 04-3308899Call,,
,"<span itemprop=""streetAddress"">Intercontinental Hotel, Dubai Festival City</span>","City : Dubai,  UAE ",,Phone : 04-7011111Call,Phone : 04-7011111Call,,
,"<span itemprop=""streetAddress"">Shop 7, Al Arti Bldg, Zabeel Rd,</span>","City : Dubai,  UAE ",115719,Phone : 04-3972787Call,Phone : 04-3972787Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6761848Call,Phone : 02-6761848Call,,
,"<span itemprop=""streetAddress"">Latifa Tower, Near Crown Plaza, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3880000Call,Phone : 04-3880000Call,,
,"<span itemprop=""streetAddress"">Majestic Hotel Tower, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3598888Call,Phone : 04-3598888Call,,
,"<span itemprop=""streetAddress"">Taj Dubai, Business Bay</span>","City : Dubai,  UAE ",,Phone : 04-4383100Call,Phone : 04-4383100Call,,
,"<span itemprop=""streetAddress"">Downtown Dubai</span>","City : Dubai,  UAE ",,Phone : 04-4243000Call,Phone : 04-4243000Call,,
,"<span itemprop=""streetAddress"">Dubai Mall, Downtown Dubai</span>","City : Dubai,  UAE ",,Phone : 04-4388999Call,Phone : 04-4388999Call,,
,"<span itemprop=""streetAddress"">Near Alico Aluminium Co, BMW Rd, Indl Area 2</span>","City : Sharjah,  UAE ",36247,Phone : 06-5338200Call,Phone : 06-5338200Call,,
,"<span itemprop=""streetAddress"">Al Nahda 1</span>","City : Dubai,  UAE ",,Phone : 04-2837474Call,Phone : 04-2837474Call,,
,"<span itemprop=""streetAddress"">Near Etisalat, Maktoum St, Deira</span>","City : Dubai,  UAE ",3720,Phone : 04-2231000Call,Phone : 04-2231000Call,,
,"<span itemprop=""streetAddress"">Deser Palm Hotel, Al Awir Road</span>","City : Dubai,  UAE ",,Phone : 04-3238888Call,Phone : 04-3238888Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4436013Call,Phone : 02-4436013Call,,
,"<span itemprop=""streetAddress"">Al Esbij Street</span>","City : Dubai,  UAE ",,Phone : 04-3550707Call,Phone : 04-3550707Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",123375,Phone : 04-3965557Call,Phone : 04-3965557Call,,
,"<span itemprop=""streetAddress"">Near Lotus Boutique Hotel, Al Baraha, Deira</span>","City : Dubai,  UAE ",20058,Phone : 04-2719196Call,Phone : 04-2719196Call,,
,"<span itemprop=""streetAddress"">Behind City Max Hotel, Near Big Bazar Hypermarket</span>","City : Sharjah,  UAE ",,Phone : 06-5220096Call,Phone : 06-5220096Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2260871Call,Phone : 04-2260871Call,,
,"<span itemprop=""streetAddress"">The Westin Abu Dhabi Golf Resort &amp; Spa, Khalifa City</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6169999Call,Phone : 02-6169999Call,,
,"<span itemprop=""streetAddress"">Opp Centrepoint, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3968301Call,Phone : 04-3968301Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-4257711Call,Phone : 04-4257711Call,,
,"<span itemprop=""streetAddress"">Behind Ramada Hotel, Al Barsha</span>","City : Dubai,  UAE ",,Phone : 04-4226131Call,Phone : 04-4226131Call,,
,"<span itemprop=""streetAddress"">Jumeirah St, Umm Suqeim 2</span>","City : Dubai,  UAE ",,Phone : 800-32552Call,Phone : 800-32552Call,,
